Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
389,2.085,5.258,0,370.694,378.998,319.323,6
390,2.273,5.125,0,366.558,333.818,314.039,8
391,2.214,5.47,0,373.359,412.687,319.493,3
392,2.279,5.142,0,372.366,348.929,315.363,5
393,2.414,5.315,0,373.361,364.91,316.479,6
394,2.276,5.094,0,369.188,348.339,315.883,8
395,2.156,5.268,0,369.87,349.813,314.234,6
396,2.261,5.024,0,364.156,357.54,311.758,8
397,2.234,5.182,0,370.227,358.519,316.852,11
398,2.196,5.223,0,370.885,384.985,313.44,4
399,2.269,5.13,0,370.438,365.329,314.487,5
400,2.115,5.307,0,371.963,404.238,318.05,3
401,2.277,5.16,0,367.485,324.777,321.398,8
402,2.265,5.176,0,370.712,363.864,320.115,7
403,2.373,5.156,0,373.145,337.426,317.191,8
404,2.154,5.215,0,365.71,319.178,316.327,5
405,2.153,5.443,0,374.174,347.303,317.631,7
406,2.61,5.218,0,368.654,359.041,316.806,6
407,2.31,5.104,0,368.632,314.247,320.573,4
408,2.183,5.271,0,367.483,338.89,318.348,7
409,2.247,5.212,0,370.076,392.67,319.772,5
410,2.269,5.238,0,372.812,318.267,318.121,9
411,2.574,5.143,0,370.136,337.215,319.304,7
412,2.54,5.154,0,368.943,352.248,314.78,7
413,2.653,5.287,0,370.437,333.455,311.982,11
414,2.524,5.174,0,370.176,332.871,314.025,7
415,2.513,5.191,0,370.223,346.363,320.011,7
416,2.454,5.178,0,370.324,319.08,318.99,8
417,2.572,5.122,0,367.602,334.629,314.264,8
418,2.592,5.11,0,372.599,323.264,322.333,6
419,2.527,5.355,0,371.879,347.854,312.102,6
420,2.514,5.287,0,374.053,308.462,322.186,9
421,2.481,5.318,0,372.908,320.025,317.774,7
422,2.576,5.26,0,373.534,331.43,315.067,10
423,2.587,5.201,0,372.966,313.838,320.476,9
424,2.558,5.231,0,369.96,352.354,318.395,5
425,2.491,5.306,0,371.702,351.4,315.365,8
426,2.776,5.112,0,371.275,331.761,319.445,6
427,2.718,5.215,0,374.991,320.642,319.796,7
428,2.721,5.19,0,374.299,298.047,316.469,6
429,2.666,5.052,0,370.374,297.709,318.024,6
430,2.638,5.169,0,370.563,277.415,316.563,8
431,2.625,5.156,0,369.091,293.159,315.145,7
432,2.551,5.1,0,365.919,306.962,306.181,10
433,2.705,5.158,0,373.279,359.155,321.69,4
434,2.506,5.241,0,368.261,347.437,312.967,9
435,2.446,5.236,0,373.145,360.312,317.971,7
436,2.385,5.256,0,367.374,337.107,312.906,7
437,2.524,5.224,0,372.325,322.201,317.092,11
438,2.499,5.231,0,372.719,324.12,316.397,10
439,2.667,5.049,0,370.599,311.506,322.07,7
440,2.579,5.225,0,371.289,296.477,320.595,9
441,2.478,5.346,0,369.58,305.714,312.503,10
442,2.711,5.049,0,371.464,307.385,319.224,8
443,2.697,5.142,0,373.808,265.962,317.509,11
444,2.771,5.132,0,370.325,328.344,313.739,8
445,2.825,5.079,0,370.568,322.053,316.928,10
446,2.561,5.242,0,372.75,332.629,318.698,9
447,2.714,5.011,0,367.697,347.846,316.535,8
448,2.542,5.192,0,368.746,350.02,314.83,6
449,2.565,5.216,0,374.771,302.223,319.565,8
450,2.624,5.111,0,370.25,323.411,316.619,6
